v1 Threshold = 10
                    treningssett  testsett  train_%  test_%
X-Dark-2021–nå                 6         0     0.16    0.00
X-Medium-2021–nå               1         0     0.03    0.00
S-Dark-2012–2015               9         0     0.24    0.00
S-Medium-2012–2015             9         2     0.24    0.31
S-Dark-2016–2020              13         2     0.35    0.31
S-Medium-2016–2020            14         3     0.38    0.46
X-Medium-2016–2020            20         4     0.54    0.62
X-Dark-2016–2020              31         6     0.84    0.92
S-Light-2016–2020             41         7     1.11    1.08
S-Light-2021–nå               46         8     1.25    1.23
X-Light-2021–nå               50         9     1.36    1.39
Y-Light-2025-nå               56        10     1.52    1.54
3-Medium-2024–nå              66        12     1.79    1.85
3-Dark-2024–nå                67        12     1.82    1.85
S-Light-2012–2015             75        13     2.03    2.00
3-Light-2024–nå               76        13     2.06    2.00
Other car-Medium-             71        13     1.93    2.00
Other car-Dark-               81        14     2.20    2.16
3-Dark-2017–2023              88        15     2.39    2.31
3-Medium-2017–2023            84        15     2.28    2.31
Y-Dark-2025-nå               105        18     2.85    2.77
3-Light-2017–2023            121        21     3.28    3.24
X-Light-2016–2020            119        21     3.23    3.24
Y-Medium-2025-nå             116        21     3.15    3.24
Y-Medium-2020–2024           198        35     5.37    5.39
Y-Dark-2020–2024             199        35     5.40    5.39
Y-Light-2020–2024            330        59     8.95    9.09
Other car-Light-            1594       281    43.24   43.30

v2 Threshold = 7
                    treningssett  testsett  train_%  test_%
X-Dark-2021–nå                 6         0     0.16    0.00
X-Medium-2021–nå               1         0     0.03    0.00
S-Dark-2012–2015               8         1     0.22    0.15
S-Medium-2012–2015             9         2     0.24    0.31
S-Dark-2016–2020              13         2     0.35    0.31
S-Medium-2016–2020            14         3     0.38    0.46
X-Medium-2016–2020            20         4     0.54    0.62
S-Light-2016–2020             42         6     1.14    0.92
X-Dark-2016–2020              31         6     0.84    0.92
S-Light-2021–nå               46         8     1.25    1.23
X-Light-2021–nå               50         9     1.36    1.39
Y-Light-2025-nå               56        10     1.52    1.54
3-Medium-2024–nå              66        12     1.79    1.85
3-Dark-2024–nå                67        12     1.82    1.85
S-Light-2012–2015             75        13     2.03    2.00
3-Light-2024–nå               76        13     2.06    2.00
Other car-Medium-             71        13     1.93    2.00
Other car-Dark-               81        14     2.20    2.16
3-Dark-2017–2023              88        15     2.39    2.31
3-Medium-2017–2023            84        15     2.28    2.31
Y-Dark-2025-nå               105        18     2.85    2.77
3-Light-2017–2023            121        21     3.28    3.24
X-Light-2016–2020            119        21     3.23    3.24
Y-Medium-2025-nå             116        21     3.15    3.24
Y-Medium-2020–2024           198        35     5.37    5.39
Y-Dark-2020–2024             199        35     5.40    5.39
Y-Light-2020–2024            330        59     8.95    9.09
Other car-Light-            1594       281    43.24   43.30

v3 Threshold = 38
                    treningssett  testsett  train_%  test_%
X-Dark-2021–nå                 6         0     0.16    0.00
S-Medium-2016–2020            17         0     0.46    0.00
S-Medium-2012–2015            11         0     0.30    0.00
X-Medium-2021–nå               1         0     0.03    0.00
S-Dark-2016–2020              15         0     0.41    0.00
S-Dark-2012–2015               9         0     0.24    0.00
X-Medium-2016–2020            24         0     0.65    0.00
X-Dark-2016–2020              37         0     1.00    0.00
S-Light-2016–2020             41         7     1.11    1.11
S-Light-2021–nå               46         8     1.24    1.27
X-Light-2021–nå               50         9     1.35    1.42
Y-Light-2025-nå               56        10     1.51    1.58
3-Medium-2024–nå              66        12     1.78    1.90
3-Dark-2024–nå                67        12     1.81    1.90
S-Light-2012–2015             75        13     2.03    2.06
3-Light-2024–nå               76        13     2.05    2.06
Other car-Medium-             71        13     1.92    2.06
Other car-Dark-               81        14     2.19    2.22
3-Dark-2017–2023              88        15     2.38    2.37
3-Medium-2017–2023            84        15     2.27    2.37
Y-Dark-2025-nå               104        19     2.81    3.01
3-Light-2017–2023            121        21     3.27    3.32
X-Light-2016–2020            119        21     3.21    3.32
Y-Medium-2025-nå             116        21     3.13    3.32
Y-Medium-2020–2024           198        35     5.35    5.54
Y-Dark-2020–2024             199        35     5.37    5.54
Y-Light-2020–2024            331        58     8.94    9.18
Other car-Light-            1594       281    43.05   44.46

v4 strata = 38
treningssett  testsett  train_%  test_%
S 2016–nå-Dark                15         0     0.41    0.00
S 2016–nå-Medium              17         0     0.46    0.00
S 2012–2015-Medium            11         0     0.30    0.00
S 2012–2015-Dark               9         0     0.24    0.00
X-Medium                      25         0     0.68    0.00
X-Dark                        37         6     1.00    0.94
Y 2025-nå-Light               56        10     1.52    1.56
3 2024–nå-Dark                67        12     1.81    1.88
3 2024–nå-Medium              66        12     1.79    1.88
Other car-Medium              71        13     1.92    2.03
S 2012–2015-Light             75        13     2.03    2.03
3 2024–nå-Light               76        13     2.06    2.03
Other car-Dark                81        14     2.19    2.19
S 2016–nå-Light               87        15     2.35    2.35
3 2017–2023-Medium            84        15     2.27    2.35
3 2017–2023-Dark              88        15     2.38    2.35
Y 2025-nå-Dark               104        19     2.81    2.97
3 2017–2023-Light            121        21     3.27    3.29
Y 2025-nå-Medium             116        21     3.14    3.29
X-Light                      169        30     4.57    4.69
Y 2020–2024-Medium           198        35     5.36    5.48
Y 2020–2024-Dark             199        35     5.38    5.48
Y 2020–2024-Light            331        58     8.96    9.08
Other car-Light             1593       282    43.10   44.13


v5 strata = 7
                    treningssett  testsett  train_%  test_%
S 2012–2015-Dark               8         1     0.22    0.15
S 2012–2015-Medium             9         2     0.24    0.31
S 2016–nå-Dark                13         2     0.35    0.31
S 2016–nå-Medium              14         3     0.38    0.46
X-Medium                      21         4     0.57    0.61
X-Dark                        37         6     1.00    0.92
Y 2025-nå-Light               56        10     1.52    1.54
3 2024–nå-Dark                67        12     1.82    1.84
3 2024–nå-Medium              66        12     1.79    1.84
Other car-Medium              71        13     1.93    2.00
S 2012–2015-Light             75        13     2.04    2.00
3 2024–nå-Light               76        13     2.06    2.00
Other car-Dark                81        14     2.20    2.15
S 2016–nå-Light               87        15     2.36    2.30
3 2017–2023-Medium            84        15     2.28    2.30
3 2017–2023-Dark              88        15     2.39    2.30
Y 2025-nå-Dark               104        19     2.82    2.92
3 2017–2023-Light            121        21     3.28    3.23
Y 2025-nå-Medium             116        21     3.15    3.23
X-Light                      169        30     4.59    4.61
Y 2020–2024-Medium           198        35     5.37    5.38
Y 2020–2024-Dark             199        35     5.40    5.38
Y 2020–2024-Light            330        59     8.96    9.06
Other car-Light             1594       281    43.27   43.16

v6 strata = 7
             treningssett  testsett  Dark  Light  Medium
S 2012–2015            92        16     9     88      11
S 2016–nå             114        20    15    102      17
3 2024–nå             209        37    79     89      78
X                     228        39    43    199      25
Y 2025-nå             276        50   123     66     137
3 2017–2023           293        51   103    142      99
Y 2020–2024           727       129   234    389     233
Other car            1746       308    95   1875      84

v7 strata = 38
             treningssett  testsett  Dark  Light  Medium
S 2012–2015            92        16     9     88      11
S 2016–nå             114        20    15    102      17
3 2024–nå             209        37    79     89      78
X                     228        39    43    199      25
Y 2025-nå             277        49   123     66     137
3 2017–2023           292        52   103    142      99
Y 2020–2024           727       129   234    389     233
Other car            1746       308    95   1875      84

v8 strata = 7

                Light  Medium    Dark
3 2017–2023    121/21   84/15   88/15
3 2024–nå       76/13   66/12   67/12
Other car    1594/281   71/13   81/14
S 2012–2015     75/13     9/2     8/1
S 2016–nå       87/15    14/3    13/2
X              170/29    21/4    37/6
Y 2020–2024    330/59  198/35  199/35
Y 2025-nå       56/10  116/21  104/19

v8 strata = 38
                Light  Medium    Dark
3 2017–2023    121/21   84/15   88/15
3 2024–nå       76/13   66/12   67/12
Other car    1593/282   71/13   81/14
S 2012–2015     75/13    11/0     9/0
S 2016–nå       87/15    17/0    15/0
X              169/30    25/0    37/6
Y 2020–2024    330/59  198/35  199/35
Y 2025-nå       56/10  116/21  104/19
