color,image,lighting,model,source,year
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-192.jpg,Light,3 2017–2023,internal,2017–2023
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-193.jpg,Light,3 2017–2023,internal,2017–2023
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-194.jpg,Light,3 2017–2023,internal,2017–2023
White,Egenprodusert/Tesla/daylight/%~n1-228.jpg,Light,3 2017–2023,internal,2017–2023
White,Egenprodusert/Tesla/daylight/%~n1-375.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-376.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-377.jpg,Light,Y 2020–2024,internal,2020–2024
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-378.jpg,Light,3 2024–nå,internal,2024–nå
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-379.jpg,Light,3 2024–nå,internal,2024–nå
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-380.jpg,Light,3 2024–nå,internal,2024–nå
Blue,Egenprodusert/Tesla/daylight/%~n1-381.jpg,Light,Y 2020–2024,internal,2020–2024
Blue,Egenprodusert/Tesla/daylight/%~n1-382.jpg,Light,Y 2020–2024,internal,2020–2024
Blue,Egenprodusert/Tesla/daylight/%~n1-383.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-384.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-385.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-386.jpg,Light,Y 2020–2024,internal,2020–2024
Blue,Egenprodusert/Tesla/daylight/%~n1-387.jpg,Light,Y 2020–2024,internal,2020–2024
Blue,Egenprodusert/Tesla/daylight/%~n1-388.jpg,Light,Y 2020–2024,internal,2020–2024
Blue,Egenprodusert/Tesla/daylight/%~n1-389.jpg,Light,Y 2020–2024,internal,2020–2024
Blue,Egenprodusert/Tesla/daylight/%~n1-390.jpg,Light,3 2024–nå,internal,2024–nå
Blue,Egenprodusert/Tesla/daylight/%~n1-391.jpg,Light,3 2024–nå,internal,2024–nå
Blue,Egenprodusert/Tesla/daylight/%~n1-392.jpg,Light,3 2024–nå,internal,2024–nå
White,Egenprodusert/Tesla/daylight/%~n1-393.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-394.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-395.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-396.jpg,Light,3 2017–2023,internal,2017–2023
White,Egenprodusert/Tesla/daylight/%~n1-397.jpg,Light,3 2017–2023,internal,2017–2023
White,Egenprodusert/Tesla/daylight/%~n1-398.jpg,Light,3 2017–2023,internal,2017–2023
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-399.jpg,Light,Y 2020–2024,internal,2020–2024
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-400.jpg,Light,Y 2020–2024,internal,2020–2024
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-401.jpg,Light,Y 2020–2024,internal,2020–2024
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-402.jpg,Light,3 2024–nå,internal,2024–nå
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-403.jpg,Light,3 2024–nå,internal,2024–nå
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-404.jpg,Light,3 2024–nå,internal,2024–nå
Light gray/Silver,Egenprodusert/Tesla/daylight/%~n1-405.jpg,Light,3 2017–2023,internal,2017–2023
Light gray/Silver,Egenprodusert/Tesla/daylight/%~n1-406.jpg,Light,3 2017–2023,internal,2017–2023
Light gray/Silver,Egenprodusert/Tesla/daylight/%~n1-407.jpg,Light,3 2017–2023,internal,2017–2023
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-408.jpg,Light,3 2017–2023,internal,2017–2023
Light gray/Silver,Egenprodusert/Tesla/daylight/%~n1-409.jpg,Light,3 2017–2023,internal,2017–2023
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-410.jpg,Light,3 2017–2023,internal,2017–2023
Blue,Egenprodusert/Tesla/daylight/%~n1-411.jpg,Light,3 2017–2023,internal,2017–2023
Blue,Egenprodusert/Tesla/daylight/%~n1-412.jpg,Light,3 2017–2023,internal,2017–2023
Blue,Egenprodusert/Tesla/daylight/%~n1-413.jpg,Light,3 2017–2023,internal,2017–2023
White,Egenprodusert/Tesla/daylight/%~n1-414.jpg,Light,3 2017–2023,internal,2017–2023
White,Egenprodusert/Tesla/daylight/%~n1-415.jpg,Light,3 2017–2023,internal,2017–2023
White,Egenprodusert/Tesla/daylight/%~n1-416.jpg,Light,3 2017–2023,internal,2017–2023
White,Egenprodusert/Tesla/daylight/%~n1-417.jpg,Light,Y 2025-nå,internal,2025-nå
White,Egenprodusert/Tesla/daylight/%~n1-418.jpg,Light,Y 2025-nå,internal,2025-nå
White,Egenprodusert/Tesla/daylight/%~n1-419.jpg,Light,Y 2025-nå,internal,2025-nå
White,Egenprodusert/Tesla/daylight/%~n1-420.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-421.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-422.jpg,Light,Y 2020–2024,internal,2020–2024
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-423.jpg,Light,Y 2020–2024,internal,2020–2024
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-424.jpg,Light,Y 2020–2024,internal,2020–2024
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-425.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-426.jpg,Light,Y 2020–2024,internal,2020–2024
White,Egenprodusert/Tesla/daylight/%~n1-427.jpg,Light,Y 2020–2024,internal,2020–2024
