image,gate1,gate2,color,lighting,source,model
0001_05740.jpg,1,,6,Light,external,Other car
0002_00403.jpg,1,,3,Light,external,Other car
0003_04834.jpg,1,,3,Light,external,Other car
0004_02756.jpg,1,,0,Light,external,Other car
0005_03221.jpg,1,,3,Light,external,Other car
0006_03160.jpg,1,,6,Light,external,Other car
0008_05902.jpg,1,,5,Light,external,Other car
0010_02164.jpg,1,,0,Light,external,Other car
0011_01080.jpg,1,,0,Light,external,Other car
0012_01588.jpg,1,,7,Light,external,Other car
0013_00206.jpg,1,,4,Light,external,Other car
0014_00616.jpg,1,,6,Light,external,Other car
0015_00211.jpg,1,,0,Light,external,Other car
0016_04510.jpg,1,,7,Light,external,Other car
0017_05618.jpg,1,,6,Light,external,Other car
0018_01527.jpg,1,,3,Light,external,Other car
0019_04488.jpg,1,,3,Light,external,Other car
0020_00581.jpg,1,,5,Light,external,Other car
0021_00115.jpg,1,,5,Light,external,Other car
0022_04204.jpg,1,,3,Light,external,Other car
0024_05800.jpg,1,,3,Light,external,Other car
0025_03897.jpg,1,,3,Light,external,Other car
0026_05082.jpg,1,,5,Light,external,Other car
0027_00719.jpg,1,,6,Light,external,Other car
0028_02238.jpg,1,,3,Light,external,Other car
0030_00396.jpg,1,,3,Light,external,Other car
0031_06997.jpg,1,,5,Light,external,Other car
0032_02723.jpg,1,,3,Light,external,Other car
0033_01506.jpg,1,,3,Light,external,Other car
0034_06390.jpg,1,,0,Light,external,Other car
0035_01909.jpg,1,,5,Light,external,Other car
0036_07447.jpg,1,,5,Light,external,Other car
0037_02060.jpg,1,,3,Light,external,Other car
0038_01458.jpg,1,,5,Light,external,Other car
0039_06834.jpg,1,,6,Light,external,Other car
0040_07378.jpg,1,,2,Light,external,Other car
0042_01385.jpg,1,,6,Light,external,Other car
0043_07533.jpg,1,,0,Light,external,Other car
0044_08108.jpg,1,,5,Light,external,Other car
0048_05727.jpg,1,,3,Light,external,Other car
0049_00725.jpg,1,,0,Light,external,Other car
0050_02998.jpg,1,,3,Light,external,Other car
0051_02282.jpg,1,,3,Light,external,Other car
0052_04374.jpg,1,,3,Light,external,Other car
0053_01229.jpg,1,,5,Light,external,Other car
0054_02074.jpg,1,,0,Light,external,Other car
0056_02099.jpg,1,,6,Light,external,Other car
0057_02615.jpg,1,,6,Light,external,Other car
0058_07088.jpg,1,,0,Light,external,Other car
0060_02359.jpg,1,,6,Light,external,Other car
0061_03721.jpg,1,,3,Light,external,Other car
0063_04594.jpg,1,,6,Light,external,Other car
0064_00917.jpg,1,,3,Light,external,Other car
0065_06627.jpg,1,,0,Light,external,Other car
0066_06145.jpg,1,,0,Light,external,Other car
0067_01766.jpg,1,,5,Light,external,Other car
0068_03886.jpg,1,,1,Light,external,Other car
0070_06157.jpg,1,,3,Light,external,Other car
0071_00579.jpg,1,,5,Light,external,Other car
0072_05189.jpg,1,,2,Light,external,Other car
0073_03841.jpg,1,,5,Light,external,Other car
0074_00680.jpg,1,,5,Light,external,Other car
0076_02559.jpg,1,,6,Light,external,Other car
0077_07448.jpg,1,,2,Light,external,Other car
0079_07973.jpg,1,,6,Light,external,Other car
0080_02233.jpg,1,,6,Light,external,Other car
0081_07352.jpg,1,,2,Light,external,Other car
0082_03548.jpg,1,,3,Light,external,Other car
0084_00752.jpg,1,,1,Light,external,Other car
0086_04165.jpg,1,,5,Light,external,Other car
0087_00102.jpg,1,,3,Light,external,Other car
0089_03441.jpg,1,,3,Light,external,Other car
0090_02248.jpg,1,,0,Light,external,Other car
0091_00442.jpg,1,,5,Light,external,Other car
0093_05503.jpg,1,,6,Light,external,Other car
0094_01921.jpg,1,,5,Light,external,Other car
0095_02720.jpg,1,,0,Light,external,Other car
0096_01716.jpg,1,,6,Light,external,Other car
0098_04619.jpg,1,,3,Light,external,Other car
0099_07220.jpg,1,,6,Light,external,Other car
0100_07280.jpg,1,,6,Light,external,Other car
0101_07336.jpg,1,,3,Light,external,Other car
0102_07854.jpg,1,,0,Light,external,Other car
0103_02178.jpg,1,,6,Light,external,Other car
0107_06803.jpg,1,,5,Light,external,Other car
0108_03083.jpg,1,,0,Light,external,Other car
0109_06535.jpg,1,,5,Light,external,Other car
0110_04150.jpg,1,,1,Light,external,Other car
0111_07253.jpg,1,,0,Light,external,Other car
0112_00130.jpg,1,,1,Light,external,Other car
0113_05026.jpg,1,,3,Light,external,Other car
0114_07596.jpg,1,,3,Light,external,Other car
0115_07792.jpg,1,,3,Light,external,Other car
0117_00730.jpg,1,,0,Light,external,Other car
0118_00999.jpg,1,,6,Light,external,Other car
0119_05913.jpg,1,,0,Light,external,Other car
0120_02508.jpg,1,,0,Light,external,Other car
0121_02037.jpg,1,,5,Light,external,Other car
0122_05631.jpg,1,,6,Light,external,Other car
0123_01688.jpg,1,,6,Light,external,Other car
0124_00551.jpg,1,,4,Light,external,Other car
0126_07921.jpg,1,,3,Light,external,Other car
0127_05649.jpg,1,,1,Light,external,Other car
0128_04424.jpg,1,,6,Light,external,Other car
0129_02569.jpg,1,,6,Light,external,Other car
0130_01661.jpg,1,,5,Light,external,Other car
0132_04033.jpg,1,,3,Light,external,Other car
0134_05176.jpg,1,,6,Light,external,Other car
0135_05323.jpg,1,,3,Light,external,Other car
0136_00755.jpg,1,,7,Light,external,Other car
0137_07470.jpg,1,,6,Light,external,Other car
0138_00369.jpg,1,,5,Light,external,Other car
0139_00502.jpg,1,,6,Light,external,Other car
0141_01634.jpg,1,,4,Light,external,Other car
0142_03530.jpg,1,,6,Light,external,Other car
0143_00637.jpg,1,,5,Light,external,Other car
0145_04499.jpg,1,,6,Light,external,Other car
0146_06085.jpg,1,,6,Light,external,Other car
0147_01732.jpg,1,,3,Light,external,Other car
0148_04961.jpg,1,,1,Light,external,Other car
0149_03000.jpg,1,,6,Light,external,Other car
0152_00741.jpg,1,,5,Light,external,Other car
0153_04061.jpg,1,,6,Light,external,Other car
0154_00084.jpg,1,,6,Light,external,Other car
0155_05389.jpg,1,,6,Light,external,Other car
0156_05542.jpg,1,,3,Light,external,Other car
0157_00344.jpg,1,,3,Light,external,Other car
0158_06729.jpg,1,,1,Light,external,Other car
0159_01535.jpg,1,,3,Light,external,Other car
0160_05440.jpg,1,,5,Light,external,Other car
0164_07738.jpg,1,,0,Light,external,Other car
0165_07414.jpg,1,,3,Light,external,Other car
0167_06886.jpg,1,,6,Light,external,Other car
0168_03248.jpg,1,,6,Light,external,Other car
0169_05712.jpg,1,,0,Light,external,Other car
0170_02181.jpg,1,,6,Light,external,Other car
