,train,train,train,train,val,val,val,val,test,test,test,test,Total
,Light,Medium,Dark,Total,Light,Medium,Dark,Total,Light,Medium,Dark,Total,Total
lvl2,,,,,,,,,,,,,
3 2017–2023,100,69,72,241,21,15,16,52,21,15,15,51,688
3 2024–nå,63,54,55,172,13,12,12,37,13,12,12,37,492
S 2012–2015,62,7,7,76,13,2,1,16,13,2,1,16,216
S 2016–nå,72,12,11,95,15,2,2,19,15,3,2,20,268
X,138,17,30,185,30,4,7,41,30,4,6,40,532
Y 2020–2024,273,163,164,600,58,35,35,128,58,35,35,128,1712
Y 2025-nå,46,95,86,227,10,21,18,49,10,21,19,50,652
