color,image,lighting,model,source,year,lvl1,lvl2,strat_key,w_lvl2,y_lvl1,w_lvl1,y_lvl2,processed_image
White,Egenprodusert/non-tesla/dark/IMG_1954.jpg,Dark,Other car,internal,,Other,,Other|NA|Dark,0.0,0,1.0,0,train/Egenprodusert/non-tesla/dark/IMG_1954.jpg
Black/Dark gray,Egenprodusert/Tesla/daylight/IMG_1802.jpg,Light,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Light,1.0,1,1.0,0,train/Egenprodusert/Tesla/daylight/IMG_1802.jpg
Light gray/Silver,Egenprodusert/Tesla/dark/IMG_3834.jpg,Dark,X,internal,2016–2020,Tesla,X,Tesla|X|Dark,1.0,1,1.0,4,train/Egenprodusert/Tesla/dark/IMG_3834.jpg
Red,Egenprodusert/non-tesla/low-light/IMG_4576.jpg,Medium,Other car,internal,,Other,,Other|NA|Medium,0.0,0,1.0,0,train/Egenprodusert/non-tesla/low-light/IMG_4576.jpg
Red,Eksternt/non-tesla/daylight/0476_03052.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0476_03052.jpg
Black/Dark gray,Egenprodusert/Tesla/dark/IMG_3856.jpg,Dark,X,internal,2016–2020,Tesla,X,Tesla|X|Dark,1.0,1,1.0,4,train/Egenprodusert/Tesla/dark/IMG_3856.jpg
Light gray/Silver,Egenprodusert/non-tesla/low-light/20260303_123840547_iOS.jpg,Medium,Other car,internal,,Other,,Other|NA|Medium,0.0,0,1.0,0,train/Egenprodusert/non-tesla/low-light/20260303_123840547_iOS.jpg
Red,Egenprodusert/Tesla/low-light/IMG_3708.jpg,Medium,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Medium,1.0,1,1.0,5,train/Egenprodusert/Tesla/low-light/IMG_3708.jpg
White,Eksternt/non-tesla/daylight/0079_07973.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0079_07973.jpg
White,Eksternt/non-tesla/daylight/2217_06908.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/2217_06908.jpg
Black/Dark gray,Eksternt/non-tesla/daylight/1230_05386.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/1230_05386.jpg
Black/Dark gray,Eksternt/non-tesla/daylight/1476_03027.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/1476_03027.jpg
White,Eksternt/non-tesla/daylight/2287_03571.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/2287_03571.jpg
Red,Eksternt/non-tesla/daylight/0152_00741.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0152_00741.jpg
Black/Dark gray,Egenprodusert/Tesla/dark/IMG_3825.jpg,Dark,X,internal,2016–2020,Tesla,X,Tesla|X|Dark,1.0,1,1.0,4,train/Egenprodusert/Tesla/dark/IMG_3825.jpg
White,Egenprodusert/Tesla/low-light/IMG_1443.jpg,Medium,X,internal,2016–2020,Tesla,X,Tesla|X|Medium,1.0,1,1.0,4,train/Egenprodusert/Tesla/low-light/IMG_1443.jpg
Black/Dark gray,Egenprodusert/Tesla/dark/IMG_3813.jpg,Dark,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Dark,1.0,1,1.0,5,train/Egenprodusert/Tesla/dark/IMG_3813.jpg
White,Eksternt/non-tesla/daylight/0825_01873.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0825_01873.jpg
White,Eksternt/non-tesla/daylight/1618_03704.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/1618_03704.jpg
White,Eksternt/non-tesla/daylight/0519_03391.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0519_03391.jpg
Black/Dark gray,Egenprodusert/Tesla/low-light/%~n1-287.jpg,Medium,3 2024–nå,internal,2024–nå,Tesla,3 2024–nå,Tesla|3 2024–nå|Medium,1.0,1,1.0,1,train/Egenprodusert/Tesla/low-light/%~n1-287.jpg
Black/Dark gray,Egenprodusert/non-tesla/dark/IMG_4872.jpg,Dark,Other car,internal,,Other,,Other|NA|Dark,0.0,0,1.0,0,train/Egenprodusert/non-tesla/dark/IMG_4872.jpg
Red,Eksternt/non-tesla/daylight/0659_01508.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0659_01508.jpg
White,Eksternt/non-tesla/daylight/0149_03000.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0149_03000.jpg
Light gray/Silver,Egenprodusert/Tesla/dark/IMG_1474.jpg,Dark,Y 2025-nå,internal,2025-nå,Tesla,Y 2025-nå,Tesla|Y 2025-nå|Dark,1.0,1,1.0,6,train/Egenprodusert/Tesla/dark/IMG_1474.jpg
Black/Dark gray,Egenprodusert/Tesla/dark/%~n1-38.jpg,Dark,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Dark,1.0,1,1.0,5,train/Egenprodusert/Tesla/dark/%~n1-38.jpg
White,Eksternt/non-tesla/daylight/0947_03733.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0947_03733.jpg
White,Egenprodusert/non-tesla/dark/IMG_1902.jpg,Dark,Other car,internal,,Other,,Other|NA|Dark,0.0,0,1.0,0,train/Egenprodusert/non-tesla/dark/IMG_1902.jpg
White,Egenprodusert/non-tesla/daylight/IMG_4329.jpg,Light,Other car,internal,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Egenprodusert/non-tesla/daylight/IMG_4329.jpg
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-482.jpg,Light,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Light,1.0,1,1.0,5,train/Egenprodusert/Tesla/daylight/%~n1-482.jpg
White,Eksternt/non-tesla/daylight/1458_08061.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/1458_08061.jpg
Blue,Egenprodusert/Tesla/low-light/IMG_1598.jpg,Medium,3 2024–nå,internal,2024–nå,Tesla,3 2024–nå,Tesla|3 2024–nå|Medium,1.0,1,1.0,1,train/Egenprodusert/Tesla/low-light/IMG_1598.jpg
White,Eksternt/Tesla/daylight/Kaggle/S/images - 2023-08-30T035659.625.jpg,Light,S 2016–nå,external,2021–nå,Tesla,S 2016–nå,Tesla|S 2016–nå|Light,1.0,1,1.0,3,train/Eksternt/Tesla/daylight/Kaggle/S/images - 2023-08-30T035659.jpg
Black/Dark gray,Egenprodusert/non-tesla/daylight/%~n1-528.jpg,Light,Other car,internal,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Egenprodusert/non-tesla/daylight/%~n1-528.jpg
Black/Dark gray,Egenprodusert/non-tesla/low-light/IMG_4602.jpg,Medium,Other car,internal,,Other,,Other|NA|Medium,0.0,0,1.0,0,train/Egenprodusert/non-tesla/low-light/IMG_4602.jpg
Light gray/Silver,Eksternt/non-tesla/daylight/0845_05474.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0845_05474.jpg
Black/Dark gray,Egenprodusert/non-tesla/low-light/IMG_4746.jpg,Medium,Other car,internal,,Other,,Other|NA|Medium,0.0,0,1.0,0,train/Egenprodusert/non-tesla/low-light/IMG_4746.jpg
Black/Dark gray,Egenprodusert/non-tesla/dark/IMG_4884.jpg,Dark,Other car,internal,,Other,,Other|NA|Dark,0.0,0,1.0,0,train/Egenprodusert/non-tesla/dark/IMG_4884.jpg
Blue,Eksternt/non-tesla/daylight/0864_02069.jpg,Light,Other car,external,,Other,,Other|NA|Light,0.0,0,1.0,0,train/Eksternt/non-tesla/daylight/0864_02069.jpg
White,Egenprodusert/non-tesla/dark/20260303_182336918_iOS.jpg,Dark,Other car,internal,,Other,,Other|NA|Dark,0.0,0,1.0,0,train/Egenprodusert/non-tesla/dark/20260303_182336918_iOS.jpg
Black/Dark gray,Egenprodusert/non-tesla/low-light/20260303_121810811_iOS.jpg,Medium,Other car,internal,,Other,,Other|NA|Medium,0.0,0,1.0,0,train/Egenprodusert/non-tesla/low-light/20260303_121810811_iOS.jpg
Blue,Eksternt/Tesla/daylight/Kaggle/S/2020-tesla-model-s_100736241_h.jpg,Light,S 2016–nå,external,2016–2020,Tesla,S 2016–nå,Tesla|S 2016–nå|Light,1.0,1,1.0,3,train/Eksternt/Tesla/daylight/Kaggle/S/2020-tesla-model-s_100736241_h.jpg
Light gray/Silver,Egenprodusert/non-tesla/dark/20260303_182952877_iOS.jpg,Dark,Other car,internal,,Other,,Other|NA|Dark,0.0,0,1.0,0,train/Egenprodusert/non-tesla/dark/20260303_182952877_iOS.jpg
White,Egenprodusert/Tesla/dark/%~n1-362.jpg,Dark,X,internal,2021–nå,Tesla,X,Tesla|X|Dark,1.0,1,1.0,4,train/Egenprodusert/Tesla/dark/%~n1-362.jpg
White,Egenprodusert/Tesla/daylight/IMG_4002.jpg,Light,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Light,1.0,1,1.0,5,train/Egenprodusert/Tesla/daylight/IMG_4002.jpg
Blue,Egenprodusert/non-tesla/low-light/20260303_121544572_iOS.jpg,Medium,Other car,internal,,Other,,Other|NA|Medium,0.0,0,1.0,0,train/Egenprodusert/non-tesla/low-light/20260303_121544572_iOS.jpg
